geoid,tract_id,full_fips,state,county,total_population,median_income,median_home_value,education_rate,homeowner_rate,remote_work_rate,population_density,latitude,longitude,population_cluster,economic_cluster,education_cluster,geographic_cluster,comprehensive_cluster
37067000100,000100,37067000100,NC,FORSYTH,3205,73860,247700,0.468954758190328,0.155234657039711,0.112636505460218,17309463354735.646,36.0979264,-80.2446634,3,0,0,5,1
37067000200,000200,37067000200,NC,FORSYTH,1217,21094,269600,0.243221035332786,0.119081779053085,0.0616269515201315,7525458535015.2295,36.1056373,-80.247523,3,1,1,5,4
37067000301,000301,37067000301,NC,FORSYTH,1993,17076,96700,0.113396889111892,0.242458100558659,0.0125439036628199,22223858563308.027,36.1110323,-80.2529776,3,1,1,5,4
37067000302,000302,37067000302,NC,FORSYTH,1549,27351,64400,0.0697224015493867,0.515449438202247,0.0,12816304205546.223,36.1185146,-80.2561384,3,2,1,5,4
37067000400,000400,37067000400,NC,FORSYTH,3215,23766,95000,0.0855365474339036,0.349041533546326,0.0133748055987558,14821973449780.467,36.1202984,-80.2418719,3,1,1,5,4
37067000500,000500,37067000500,NC,FORSYTH,2379,18594,86700,0.0180748213535099,0.22122905027933,0.00756620428751576,14649450473188.875,36.1175184,-80.2280095,3,2,1,5,4
37067000600,000600,37067000600,NC,FORSYTH,2688,29712,99200,0.0256696428571429,0.231590181430096,0.0163690476190476,21403391815726.48,36.1081191,-80.2289223,3,2,1,5,4
37067000700,000700,37067000700,NC,FORSYTH,1853,25671,152000,0.0831084727468969,0.187010078387458,0.0,16939985439198.46,36.0994649,-80.2302205,3,2,1,5,4
37067000802,000802,37067000802,NC,FORSYTH,2431,28981,95600,0.0629370629370629,0.279935275080906,0.00452488687782805,11556974199890.635,36.0765437,-80.231189,3,1,1,5,4
37067000900,000900,37067000900,NC,FORSYTH,3599,33285,192800,0.225062517365935,0.355254674403611,0.0297304806890803,11852902828019.744,36.0842573,-80.2489368,3,2,1,5,0
37067001000,001000,37067001000,NC,FORSYTH,4174,73180,207800,0.276712985146143,0.422592032274332,0.0591758505031145,14444247165467.479,36.0784487,-80.26479,3,3,2,5,1
37067001100,001100,37067001100,NC,FORSYTH,2566,52870,429700,0.592361652377241,0.249823071479122,0.0830085736554949,15729414592232.844,36.0950453,-80.2621726,3,3,0,5,1
37067001200,001200,37067001200,NC,FORSYTH,2083,94038,423400,0.561209793566971,0.668094218415418,0.056649063850216,5651432605607.815,36.1082426,-80.2695203,1,3,0,5,1
37067001300,001300,37067001300,NC,FORSYTH,4662,50843,357000,0.117760617760618,0.413654618473896,0.037966537966538,10884315255674.49,36.1296874,-80.2770425,1,1,1,0,2
37067001400,001400,37067001400,NC,FORSYTH,3827,42829,94900,0.0692448392997126,0.413168724279835,0.0151554742618239,5131595148259.86,36.1381648,-80.2559043,1,1,1,0,2
37067001500,001500,37067001500,NC,FORSYTH,4508,44183,139200,0.0978260869565217,0.455119214586255,0.0268411712511091,5996176598113.425,36.1526103,-80.2391496,1,1,1,0,2
37067001601,001601,37067001601,NC,FORSYTH,3461,48856,124500,0.14013290956371,0.715724244771495,0.0158913608783589,5634364655215.719,36.139276,-80.2124724,1,1,1,5,2
37067001602,001602,37067001602,NC,FORSYTH,2755,23029,89700,0.0784029038112523,0.297998517420311,0.0199637023593466,7160394381891.3,36.1226178,-80.2209316,3,2,1,5,4
