county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,vote_diff,rep_margin_pct,dva_pct_needed,dem_base_pct,target_category,feasibility_tier,opportunity_score
FORSYTH,71,NC ATTORNEY GENERAL,2024-11-05,1565,1568,0,3133,3,0.1,0.13,49.95,Ultra-Target,Immediate,15.665
FORSYTH,805,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2020-11-03,2811,2827,0,5638,16,0.28,0.3,49.86,Ultra-Target,Immediate,14.836842105263159
FORSYTH,132,NC COURT OF APPEALS JUDGE SEAT 12,2024-11-05,1890,1897,0,3787,7,0.18,0.21,49.91,Ultra-Target,Immediate,13.525
FORSYTH,809,CITY OF WINSTON-SALEM COUNCIL MEMBER WEST WARD,2024-11-05,1163,1166,0,2329,3,0.13,0.17,49.94,Ultra-Target,Immediate,10.126086956521739
FORSYTH,132,FORSYTH COUNTY BOARD OF EDUCATION AT-LARGE,2022-11-08,3610,3673,0,7283,63,0.87,0.88,49.57,High-Target,Immediate,7.508247422680412
FORSYTH,43,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,1047,1052,0,2099,5,0.24,0.29,49.88,Ultra-Target,Immediate,6.173529411764706
FORSYTH,16,NC SECRETARY OF STATE,2024-11-05,1155,1162,0,2317,7,0.3,0.34,49.85,Ultra-Target,Immediate,5.7925
FORSYTH,131,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 06,2024-11-05,1520,1533,0,3053,13,0.43,0.46,49.79,Ultra-Target,Immediate,5.760377358490566
FORSYTH,809,NC DISTRICT COURT JUDGE DISTRICT 31 SEAT 10,2024-11-05,1163,1171,0,2334,8,0.34,0.39,49.83,Ultra-Target,Immediate,5.304545454545455
FORSYTH,55,NC ATTORNEY GENERAL,2024-11-05,1617,1635,0,3252,18,0.55,0.58,49.72,High-Target,Immediate,5.003076923076923
FORSYTH,72,NC GOVERNOR,2020-11-03,2363,2406,0,4769,43,0.9,0.92,49.55,High-Target,Immediate,4.769
FORSYTH,132,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2024-11-05,4647,4832,0,9479,185,1.95,1.96,49.02,High-Target,Short-term,4.62390243902439
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 04,2020-11-03,805,809,0,1614,4,0.25,0.31,49.88,Ultra-Target,Immediate,4.611428571428571
FORSYTH,62,FORSYTH COUNTY SHERIFF,2022-11-08,604,606,0,1210,2,0.17,0.25,49.92,Ultra-Target,Immediate,4.481481481481482
FORSYTH,55,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,1591,1612,0,3203,21,0.66,0.69,49.67,High-Target,Immediate,4.214473684210526
FORSYTH,77,NC COURT OF APPEALS JUDGE SEAT 12,2024-11-05,1130,1140,0,2270,10,0.44,0.48,49.78,Ultra-Target,Immediate,4.203703703703704
FORSYTH,908,NC COURT OF APPEALS JUDGE SEAT 09,2022-11-08,959,966,0,1925,7,0.36,0.42,49.82,Ultra-Target,Immediate,4.184782608695652
FORSYTH,43,NC GOVERNOR,2020-11-03,1057,1066,0,2123,9,0.42,0.47,49.79,Ultra-Target,Immediate,4.082692307692308
FORSYTH,32,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,1331,1346,0,2677,15,0.56,0.6,49.72,High-Target,Immediate,4.056060606060607
FORSYTH,131,FORSYTH COUNTY BOARD OF EDUCATION AT-LARGE,2022-11-08,2900,2984,0,5884,84,1.43,1.44,49.29,High-Target,Short-term,3.845751633986928
FORSYTH,131,US SENATE,2022-11-08,1054,1064,0,2118,10,0.47,0.52,49.76,Ultra-Target,Immediate,3.7157894736842105
