county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dem_margin_pct,dva_pct_needed,strategic_tier,priority_score
FORSYTH,43,NC ATTORNEY GENERAL,2024-11-05,1062,1061,0,2123,DEM,1,0.05,0.05,0.09,Tier 1: Immediate (≤0.5%),14.153333333333334
FORSYTH,132,FORSYTH COUNTY BOARD OF COMMISSIONERS AT-LARGE,2022-11-08,1323,1320,0,2643,DEM,3,0.11,0.11,0.15,Tier 1: Immediate (≤0.5%),12.585714285714285
FORSYTH,908,NC ATTORNEY GENERAL,2020-11-03,1196,1193,0,2389,DEM,3,0.13,0.13,0.17,Tier 1: Immediate (≤0.5%),10.38695652173913
FORSYTH,807,NC COMMISSIONER OF INSURANCE,2024-11-05,779,776,0,1555,DEM,3,0.19,0.19,0.26,Tier 1: Immediate (≤0.5%),5.362068965517241
FORSYTH,908,NC COMMISSIONER OF INSURANCE,2020-11-03,1177,1172,0,2349,DEM,5,0.21,0.21,0.26,Tier 1: Immediate (≤0.5%),7.577419354838711
FORSYTH,803,NC STATE SENATE DISTRICT 32,2022-11-08,603,600,0,1203,DEM,3,0.25,0.25,0.33,Tier 1: Immediate (≤0.5%),3.4371428571428573
FORSYTH,63,FORSYTH COUNTY SHERIFF,2022-11-08,1096,1090,0,2186,DEM,6,0.27,0.27,0.32,Tier 1: Immediate (≤0.5%),5.908108108108108
FORSYTH,807,NC DISTRICT COURT JUDGE DISTRICT 21 SEAT 08,2020-11-03,789,784,0,1573,DEM,5,0.32,0.32,0.38,Tier 1: Immediate (≤0.5%),3.7452380952380953
FORSYTH,701,NC TREASURER,2020-11-03,603,599,0,1202,DEM,4,0.33,0.33,0.42,Tier 1: Immediate (≤0.5%),2.795348837209302
FORSYTH,77,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 06,2024-11-05,1147,1139,0,2286,DEM,8,0.35,0.35,0.39,Tier 1: Immediate (≤0.5%),5.08
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 04,2020-11-03,784,778,0,1562,DEM,6,0.38,0.38,0.45,Tier 1: Immediate (≤0.5%),3.254166666666667
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 15,2024-11-05,779,772,0,1551,DEM,7,0.45,0.45,0.52,Tier 1: Immediate (≤0.5%),2.82
FORSYTH,803,NC HOUSE OF REPRESENTATIVES DISTRICT 072,2022-11-08,600,594,0,1194,DEM,6,0.5,0.5,0.59,Tier 1: Immediate (≤0.5%),1.99
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 15,2024-11-05,777,769,0,1546,DEM,8,0.52,0.52,0.58,Tier 2: High Priority (0.5-1.0%),2.4935483870967743
FORSYTH,132,US PRESIDENT,2024-11-05,1930,1909,0,3839,DEM,21,0.55,0.55,0.57,Tier 2: High Priority (0.5-1.0%),5.906153846153845
FORSYTH,707,CITY OF WINSTON-SALEM COUNCIL MEMBER WEST WARD,2024-11-05,266,263,0,529,DEM,3,0.57,0.57,0.75,Tier 2: High Priority (0.5-1.0%),0.7895522388059703
FORSYTH,807,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2024-11-05,2033,2010,0,4043,DEM,23,0.57,0.57,0.59,Tier 2: High Priority (0.5-1.0%),6.034328358208956
FORSYTH,16,NC LIEUTENANT GOVERNOR,2024-11-05,1128,1115,0,2243,DEM,13,0.58,0.58,0.62,Tier 2: High Priority (0.5-1.0%),3.298529411764706
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 14,2024-11-05,782,773,0,1555,DEM,9,0.58,0.58,0.64,Tier 2: High Priority (0.5-1.0%),2.286764705882353
