county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dva_pct_needed,year,month,election_type,flippable_target,defensive_priority,votes_needed_to_flip
FORSYTH,132,NC AUDITOR,2024-11-05,1840,1841,0,3681,REP,1,0.03,0.05,2024,11,General,True,False,2
FORSYTH,43,NC ATTORNEY GENERAL,2024-11-05,1062,1061,0,2123,DEM,1,0.05,0.09,2024,11,General,False,True,2
FORSYTH,803,NC COURT OF APPEALS JUDGE SEAT 15,2024-11-05,702,703,0,1405,REP,1,0.07,0.14,2024,11,General,True,False,2
FORSYTH,16,NC ATTORNEY GENERAL,2024-11-05,1164,1166,0,2330,REP,2,0.09,0.13,2024,11,General,True,False,3
FORSYTH,71,NC ATTORNEY GENERAL,2024-11-05,1565,1568,0,3133,REP,3,0.1,0.13,2024,11,General,True,False,4
FORSYTH,132,FORSYTH COUNTY BOARD OF COMMISSIONERS AT-LARGE,2022-11-08,1323,1320,0,2643,DEM,3,0.11,0.15,2022,11,General,False,True,4
FORSYTH,908,NC ATTORNEY GENERAL,2020-11-03,1196,1193,0,2389,DEM,3,0.13,0.17,2020,11,General,False,True,4
FORSYTH,809,CITY OF WINSTON-SALEM COUNCIL MEMBER WEST WARD,2024-11-05,1163,1166,0,2329,REP,3,0.13,0.17,2024,11,General,True,False,4
FORSYTH,62,FORSYTH COUNTY SHERIFF,2022-11-08,604,606,0,1210,REP,2,0.17,0.25,2022,11,General,True,False,3
FORSYTH,132,NC COURT OF APPEALS JUDGE SEAT 12,2024-11-05,1890,1897,0,3787,REP,7,0.18,0.21,2024,11,General,True,False,8
FORSYTH,807,NC COMMISSIONER OF INSURANCE,2024-11-05,779,776,0,1555,DEM,3,0.19,0.26,2024,11,General,False,True,4
FORSYTH,52,NC ATTORNEY GENERAL,2024-11-05,500,502,0,1002,REP,2,0.2,0.3,2024,11,General,True,False,3
FORSYTH,908,NC COMMISSIONER OF INSURANCE,2020-11-03,1177,1172,0,2349,DEM,5,0.21,0.26,2020,11,General,False,True,6
FORSYTH,43,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,1047,1052,0,2099,REP,5,0.24,0.29,2024,11,General,True,False,6
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 04,2020-11-03,805,809,0,1614,REP,4,0.25,0.31,2020,11,General,True,False,5
FORSYTH,803,NC STATE SENATE DISTRICT 32,2022-11-08,603,600,0,1203,DEM,3,0.25,0.33,2022,11,General,False,True,4
FORSYTH,63,FORSYTH COUNTY SHERIFF,2022-11-08,1096,1090,0,2186,DEM,6,0.27,0.32,2022,11,General,False,True,7
FORSYTH,805,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2020-11-03,2811,2827,0,5638,REP,16,0.28,0.3,2020,11,General,True,False,17
FORSYTH,16,NC SECRETARY OF STATE,2024-11-05,1155,1162,0,2317,REP,7,0.3,0.34,2024,11,General,True,False,8
FORSYTH,807,NC DISTRICT COURT JUDGE DISTRICT 21 SEAT 08,2020-11-03,789,784,0,1573,DEM,5,0.32,0.38,2020,11,General,False,True,6
FORSYTH,701,NC TREASURER,2020-11-03,603,599,0,1202,DEM,4,0.33,0.42,2020,11,General,False,True,5
FORSYTH,809,NC DISTRICT COURT JUDGE DISTRICT 31 SEAT 10,2024-11-05,1163,1171,0,2334,REP,8,0.34,0.39,2024,11,General,True,False,9
FORSYTH,77,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 06,2024-11-05,1147,1139,0,2286,DEM,8,0.35,0.39,2024,11,General,False,True,9
FORSYTH,908,NC COURT OF APPEALS JUDGE SEAT 09,2022-11-08,959,966,0,1925,REP,7,0.36,0.42,2022,11,General,True,False,8
FORSYTH,806,NC ATTORNEY GENERAL,2020-11-03,800,806,0,1606,REP,6,0.37,0.44,2020,11,General,True,False,7
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 04,2020-11-03,784,778,0,1562,DEM,6,0.38,0.45,2020,11,General,False,True,7
FORSYTH,52,NC SECRETARY OF STATE,2024-11-05,493,497,0,990,REP,4,0.4,0.5,2024,11,General,True,False,5
FORSYTH,43,NC GOVERNOR,2020-11-03,1057,1066,0,2123,REP,9,0.42,0.47,2020,11,General,True,False,10
FORSYTH,131,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 06,2024-11-05,1520,1533,0,3053,REP,13,0.43,0.46,2024,11,General,True,False,14
FORSYTH,77,NC COURT OF APPEALS JUDGE SEAT 12,2024-11-05,1130,1140,0,2270,REP,10,0.44,0.48,2024,11,General,True,False,11
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 15,2024-11-05,779,772,0,1551,DEM,7,0.45,0.52,2024,11,General,False,True,8
FORSYTH,131,US SENATE,2022-11-08,1054,1064,0,2118,REP,10,0.47,0.52,2022,11,General,True,False,11
FORSYTH,803,NC HOUSE OF REPRESENTATIVES DISTRICT 072,2022-11-08,600,594,0,1194,DEM,6,0.5,0.59,2022,11,General,False,True,7
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 15,2024-11-05,777,769,0,1546,DEM,8,0.52,0.58,2024,11,General,False,True,9
